Company,Degree,Degree1,Degree2,Department,Designation,Email,Employees,Function,Industry,Institutions,Institutions1,Institutions2,Name,Phone,Questions,Revenue,Salary,Technical_skills,Year_of_experience,_id,app_id,cl,created_at,customers,eff_score,imp_score,isread,level,que_optional,res_score,resume_id,role_name,roleid,token,updated_at
ABB,"[""Appreciation Programme on Citizen Journalism""]","","",fthc,fcjh,aanchal@algowire.com,5,"Exploration
","Cosmetics
","[""Abhilashi University""]","","",sumit,7666666666,"{""que1""=>""6"", ""que2""=>""1"", ""que3""=>""1"", ""que4""=>""3"", ""que5""=>""1"", ""que6""=>""1"", ""que7""=>""1"", ""que8""=>""3"", ""que9""=>""4"", ""que10""=>""4"", ""que11""=>""1"", ""que12""=>""4"", ""que13""=>""5"", ""que14""=>""0"", ""que15""=>""0"", ""que16""=>""1"", ""que17""=>""1"", ""que18""=>""0"", ""que19""=>""1""}",78.0,5.0,"[""fgvjf""]",5.0,"{""$oid""=>""5bc74bf1a4f27f04aa0171d2""}",app_id_1539787760772,17,2018-10-17T14:49:21.950Z,Regional (1-5 States),46,21.299999999999997,true,Top Management (Typically top 2 levels),{},149,5bc74bf0a4f27f04aa0171d0,west,role_1539787671996,b6c722d86bab6d1fa02cf880b169037f,2018-10-29T13:44:55.588Z
3M,"[""Advanced diploma in Dredging technology""]","","",tfgvj,fhc,aanchal@algowire.com,56,"Engineering - Marine
","Consumer Goods
","[""Academy of Scientific and Innovative Research""]","","",wesgdx,4444444444,"{""que1""=>""7"", ""que2""=>""2"", ""que3""=>""1"", ""que4""=>""3"", ""que5""=>""1"", ""que6""=>""3"", ""que7""=>""1"", ""que8""=>""3"", ""que9""=>""5"", ""que10""=>""5"", ""que11""=>""1"", ""que12""=>""5"", ""que13""=>""6"", ""que14""=>""1"", ""que15""=>""1"", ""que16""=>""1"", ""que17""=>""1"", ""que18""=>""0"", ""que19""=>""1""}",7.0,6.0,"[""5rtfgch""]",45.0,"{""$oid""=>""5bc74d87a4f27f06c036b66d""}",app_id_1539788166470,20,2018-10-17T14:56:07.758Z,Regional (1-5 States),91,28.249999999999996,true,Top Management (Typically top 2 levels),{},161,5bc74d86a4f27f06c036b66b,west,role_1539787671996,370e102a36d0c9e901dc31ae3115e3a7,2018-10-19T10:40:55.093Z
Abbot,"[""Appreciation Programme on Citizen Journalism""]","","",ee,java,prankur.g@algowire.com,2,"Design Engineering
","Business Supplies and Equipment
","[""Acharya Nagarjuna University""]","","",prankur,1234561111,"{""que1""=>""3"", ""que2""=>""0"", ""que3""=>""0"", ""que4""=>""0"", ""que5""=>""0"", ""que6""=>""0"", ""que7""=>""0"", ""que8""=>""2"", ""que9""=>""3"", ""que10""=>""3"", ""que11""=>""0"", ""que12""=>"""", ""que13""=>"""", ""que14""=>""0"", ""que15""=>""0"", ""que16""=>""0"", ""que17""=>""0"", ""que18""=>""0"", ""que19""=>""1""}",3.0,2.0,"[""css""]",1.0,"{""$oid""=>""5bd4601fa4f27f95c7b25009""}",app_id_1540644893926,11,2018-10-27T12:54:55.138Z,Regional (1-5 States),22,5.15,true,Senior Management (Typically third level),{},30,5bd4601da4f27f95c7b25007,west,role_1539787671996,59141d8385f6f451c84084f17e91aae7,2018-10-27T12:55:17.682Z
ABB,"[""Bachelor of Architecture""]","","",it,java,prankur.g@algowire.com,4,"Engineering - Electrical & Electronics
","Civil Engineering
","[""Ahmedabad University""]","","",prankur,7878787878,"{""que1""=>""3"", ""que2""=>""0"", ""que3""=>""0"", ""que4""=>""0"", ""que5""=>""0"", ""que6""=>""0"", ""que7""=>""0"", ""que8""=>""2"", ""que9""=>""3"", ""que10""=>""3"", ""que11""=>""0"", ""que12""=>"""", ""que13""=>"""", ""que14""=>""0"", ""que15""=>""0"", ""que16""=>""0"", ""que17""=>""0"", ""que18""=>""0"", ""que19""=>""0""}",5.0,4.0,"[""css""]",3.0,"{""$oid""=>""5bd465daa4f27f9b809dacbe""}",app_id_1540646361115,10,2018-10-27T13:19:22.335Z,Regional (1-5 States),22,0.0,true,Senior Management (Typically third level),{},30,5bd465d9a4f27f9b809dacbc,west,role_1539787671996,a9cf1a8624fdaa59db556f4378f32f93,2018-10-29T06:06:17.283Z
"","[""Bachelor of Architecture""]","","","","",corporatetest4@gmail.com,"","","","[""Adamas University""]","","",sumit,1111111111,"{""que1""=>"""", ""que2""=>"""", ""que3""=>"""", ""que4""=>"""", ""que5""=>"""", ""que6""=>"""", ""que7""=>"""", ""que8""=>"""", ""que9""=>"""", ""que10""=>"""", ""que11""=>"""", ""que12""=>"""", ""que13""=>"""", ""que14""=>"""", ""que15""=>"""", ""que16""=>"""", ""que17""=>"""", ""que18""=>"""", ""que19""=>""""}","","","[""css""]",0.0,"{""$oid""=>""5bd4664aa4f27f9b809dacc2""}",app_id_1540646473268,"",2018-10-27T13:21:14.338Z,"","","",true,"",{},"",5bd46649a4f27f9b809dacc0,west,role_1539787671996,a5f1ce6a56e5cc158c05f8077fdbb6ff,2018-10-27T13:21:24.482Z
"","[""Advanced diploma in Dredging technology""]","","","","",aanchal@algowire.com,"","","","[""Academy of Scientific and Innovative Research""]","","",Abi,5555555555,"{""que1""=>""1"", ""que2""=>""1"", ""que3""=>""1"", ""que4""=>"""", ""que5""=>"""", ""que6""=>"""", ""que7""=>"""", ""que8""=>"""", ""que9""=>"""", ""que10""=>"""", ""que11""=>"""", ""que12""=>"""", ""que13""=>"""", ""que14""=>"""", ""que15""=>"""", ""que16""=>"""", ""que17""=>"""", ""que18""=>"""", ""que19""=>""""}","","","[""hgggg""]",0.0,"{""$oid""=>""5bd6a3f4a4f27fa084e2556e""}",app_id_1540793330991,"",2018-10-29T06:08:52.143Z,"","","",true,"",{},"",5bd6a3f3a4f27fa084e2556c,west,role_1539787671996,0a1c4a437361c34e243cc3f52e75794e,2018-10-29T06:09:20.235Z
3M,"[""Advanced diploma in Dredging technology""]","","",ss,dd,aanchal@algowire.com,5,"Administration
","Airlines/Aviation
","[""Academy of Scientific and Innovative Research""]","","",Swati,5555555555,"{""que1""=>""1"", ""que2""=>""1"", ""que3""=>""1"", ""que4""=>""0"", ""que5""=>""0"", ""que6""=>""0"", ""que7""=>""0"", ""que8""=>""2"", ""que9""=>""2"", ""que10""=>""2"", ""que11""=>""0"", ""que12""=>"""", ""que13""=>"""", ""que14""=>""0"", ""que15""=>""1"", ""que16""=>""0"", ""que17""=>""1"", ""que18""=>""0"", ""que19""=>""0""}",5.0,6.0,"[""java""]",4.0,"{""$oid""=>""5bd6a48ca4f27fa084e25572""}",app_id_1540793483560,10,2018-10-29T06:11:24.852Z,Regional (1-5 States),19,11.799999999999999,true,Middle Management (If you have someone reporting to you who is NOT a workman),{},19,5bd6a48ba4f27fa084e25570,west,role_1539787671996,2beab4a337c852098d098e99dbe1b845,2018-10-29T06:11:37.596Z
"","[""Advanced diploma in Dredging technology""]","","","","",aan@gmail.com,"","","","[""Academy of Scientific and Innovative Research""]","","",Deepak,9999999999,"{""que1""=>"""", ""que2""=>"""", ""que3""=>"""", ""que4""=>"""", ""que5""=>"""", ""que6""=>"""", ""que7""=>"""", ""que8""=>"""", ""que9""=>"""", ""que10""=>"""", ""que11""=>"""", ""que12""=>"""", ""que13""=>"""", ""que14""=>"""", ""que15""=>"""", ""que16""=>"""", ""que17""=>"""", ""que18""=>"""", ""que19""=>""""}","","","[""java""]",0.0,"{""$oid""=>""5bd6a4d6a4f27fa084e25576""}",app_id_1540793557105,"",2018-10-29T06:12:38.228Z,"","","",true,"",{},"",5bd6a4d5a4f27fa084e25574,west,role_1539787671996,6e7630731d3c4a55a6f022d1c7c2b879,2018-10-29T06:13:08.433Z
"","[""Advanced diploma in Dredging technology""]","","","","",aanchal@algowire.com,"","","","[""Academy of Scientific and Innovative Research""]","","",Test,6666666666,"{""que1""=>"""", ""que2""=>"""", ""que3""=>"""", ""que4""=>"""", ""que5""=>"""", ""que6""=>"""", ""que7""=>"""", ""que8""=>"""", ""que9""=>"""", ""que10""=>"""", ""que11""=>"""", ""que12""=>"""", ""que13""=>"""", ""que14""=>"""", ""que15""=>"""", ""que16""=>"""", ""que17""=>"""", ""que18""=>"""", ""que19""=>""""}","","","[""java""]",0.0,"{""$oid""=>""5bd6abb8a4f27f9050e1aabe""}",app_id_1540795319671,"",2018-10-29T06:42:00.944Z,"","","",true,"",{},"",5bd6abb7a4f27f9050e1aabc,west,role_1539787671996,d420dbfe954dbbc76d1b22c0ec154c98,2018-10-29T06:42:25.740Z
"","[""Advanced diploma in Dredging technology"", ""Bachelor of Arts Bengali (Honors) (BA)"", ""Appreciation Programme on Citizen Journalism""]","","","","",aan@gmail.com,"","","","[""AKS University"", ""AISECT University, Jharkhand"", ""Ajeenkya DY Patil University""]","","",Sukrit,7777777777,"{""que1""=>"""", ""que2""=>"""", ""que3""=>"""", ""que4""=>"""", ""que5""=>"""", ""que6""=>"""", ""que7""=>"""", ""que8""=>"""", ""que9""=>"""", ""que10""=>"""", ""que11""=>"""", ""que12""=>"""", ""que13""=>"""", ""que14""=>"""", ""que15""=>"""", ""que16""=>"""", ""que17""=>"""", ""que18""=>"""", ""que19""=>""""}","","","[""java""]",0.0,"{""$oid""=>""5bd96f3ea4f27fc9bda69306""}",app_id_1540976445471,"",2018-10-31T09:00:46.376Z,"","","",false,"","{""Father's Name""=>[""sss""], ""Gender""=>[""1""], ""Location""=>[""1"", ""2""]}","",5bd96f3da4f27fc9bda69304,Developer,role_1540975276708,3ecf9d2de9c6fb97e4d8dab5ccdf470d,2018-10-31T09:00:46.376Z
3M,"[""Advanced diploma in Dredging technology"", ""Advanced diploma in Dredging technology"", ""Advanced diploma in Dredging technology""]","","",yy,dd,aanchal@algowire.com,888888,"Engineering
","Civil Engineering
","[""Academy of Scientific and Innovative Research"", ""Acharya Nagarjuna University"", ""Abhilashi University""]","","",Aanchal,8888888888,"{""que1""=>""1"", ""que2""=>""1"", ""que3""=>""1"", ""que4""=>""1"", ""que5""=>""1"", ""que6""=>""3"", ""que7""=>""3"", ""que8""=>""5"", ""que9""=>""5"", ""que10""=>""5"", ""que11""=>""1"", ""que12""=>""4"", ""que13""=>""4"", ""que14""=>""2"", ""que15""=>""4"", ""que16""=>""4"", ""que17""=>""5"", ""que18""=>""5"", ""que19""=>""5""}",888.0,12000.0,"[""hgggg""]",999.0,"{""$oid""=>""5bd96ffea4f27fc9bda6930b""}",app_id_1540976637672,45,2018-10-31T09:03:58.536Z,Regional (1-5 States),242,625.6,true,Middle Management (If you have someone reporting to you who is NOT a workman),"{""Father's Name""=>[""aaa""], ""Gender""=>[""1""], ""Location""=>[""0"", ""1"", ""2"", ""3""]}",40,5bd96ffda4f27fc9bda69309,Developer,role_1540975276708,a19c603a316e5f7dfc5951d34024cc84,2018-10-31T09:04:14.606Z
